"tegenstander","klassering_tegenstander","ELO_tegenstander","ELO","klassering","ELO_voorspelling_verschil"
"NATHAN VANDOORN","E6",637,212,"E6",0.920304880672359
"HANS VAN POLFLIET","E6",666,264,"E6",0.910037919811516
"LUC VAN LEEUWE","E6",614,224,"E6",0.904220144369614
"SVEN DE MEYERE","NG",611,226,"E6",0.901698254602195
"LUC LONGUEVILLE","E6",584,210,"E6",0.895941050841722
"YANNICK DENYS","E6",545,246,"E6",0.848281068712712
"FREDDY VAN STRYDONCK","E6",536,250,"E6",0.838396907386943
"DOMINIQUE DE TOLLENAERE","E6",463,215,"E6",0.806527522817108
"DANIEL ROMBAUX","E4",446,240,"E6",0.765994670766489
"ELIE VERBEELEN","NG",443,252,"E6",0.750163481828642
